exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"ppt_lag3, twbs_lag4, twbs_lag2, twbs_lag1","ARIMAX(1,0,0)",1,0,0,15.076146457096417,20.484267512774885,0.5139038147100511,0.49535815134687233
"ppt_lag3, twbs_lag4, twbs_lag5, twbs_lag2, ppt_lag4","ARIMAX(3,0,1)",3,0,1,42.07050608229308,49.796393304690895,0.5142062373874585,0.44004422970003887
"twbs_lag4, twbs_lag3","ARIMAX(2,0,0)",2,0,0,12.479857107178205,17.11538944061689,0.5151886588224337,0.4744440612361003
"ppt_lag3, ppt_lag4, twbs_lag1","ARIMAX(0,0,1)",0,0,1,9.13071917156355,13.766251505002236,0.5166054242314251,0.4850002509467779
"ppt_lag2, twbs_lag3, twbs_lag2, ppt_lag4","ARIMAX(0,0,0)",0,0,0,18.66146387146511,23.296996204903795,0.5181476332614997,0.4320144551533218
"ppt_lag3, twbs_lag2, twbs_lag1","ARIMAX(0,0,0)",0,0,0,13.649440987399924,17.51238459859883,0.5184695191389834,0.48725532514547476
"ppt_lag3, twbs_lag4, twbs_lag2, ppt_lag4, twbs_lag1","ARIMAX(2,0,0)",2,0,0,28.388961293104536,35.34225979326257,0.5200036761522476,0.4273097366803178
"ppt_lag2, twbs_lag5, twbs_lag1","ARIMAX(0,0,1)",0,0,1,12.967401587107027,17.602933920545713,0.521025905270964,0.4624118952514804
"ppt_lag3, ppt_lag2, twbs_lag1","ARIMAX(0,0,1)",0,0,1,5.631284700395164,10.26681703383385,0.523500592548656,0.4957605172852495
"ppt_lag3, ppt_lag2, twbs_lag3, twbs_lag1","ARIMAX(0,0,0)",0,0,0,9.379356880369748,14.014889213808434,0.5268185507326861,0.4751945033761902
"ppt_lag3, ppt_lag2, twbs_lag5, ppt_lag4, twbs_lag1","ARIMAX(2,0,2)",2,0,2,17.406701152102343,25.905177096739934,0.5290913844247682,0.48526665762979126
"twbs_lag3, twbs_lag5, twbs_lag1","ARIMAX(0,0,1)",0,0,1,12.678224869143046,17.31375720258173,0.5313737330507234,0.460501008121033
"ppt_lag3, twbs_lag4, ppt_lag2, twbs_lag1","ARIMAX(1,0,2)",1,0,2,41.19191330734433,47.372623085262575,0.534845128037127,0.4664385588219768
"twbs_lag4, ppt_lag2, twbs_lag1","ARIMAX(0,0,0)",0,0,0,15.962054956749483,19.82499856794839,0.5363112002059904,0.4993755319546489
"ppt_lag3, twbs_lag3, twbs_lag2, twbs_lag1","ARIMAX(0,0,0)",0,0,0,15.545602649853492,20.18113498329218,0.5401639665413092,0.507941545538114
"ppt_lag3, ppt_lag2, twbs_lag2, twbs_lag1","ARIMAX(0,0,0)",0,0,0,9.57915597273428,14.214688306172967,0.5446524699976433,0.49328693230089815
"ppt_lag3, ppt_lag2, twbs_lag5, twbs_lag1","ARIMAX(0,0,0)",0,0,0,9.143056858617738,13.778589192056424,0.5449559229452188,0.491911087132785
"twbs_lag3, ppt_lag4, twbs_lag1","ARIMAX(0,0,0)",0,0,0,18.564546854650487,22.427490465849395,0.546850835643696,0.49921730522106555
"ppt_lag3, ppt_lag2, twbs_lag2, ppt_lag4, twbs_lag1","ARIMAX(0,0,0)",0,0,0,11.784738982409486,17.192860038087954,0.5470407846725722,0.5085642539993973
"twbs_lag4, ppt_lag2, twbs_lag5, twbs_lag2","ARIMAX(1,0,2)",1,0,2,31.561162321476306,38.51446082163434,0.550187224870447,0.47454453529532525
twbs_lag3,"ARIMAX(2,0,0)",2,0,0,12.766703904453426,16.62964751565233,0.5521540356043397,0.4899230359271698
"ppt_lag2, twbs_lag5, ppt_lag4, twbs_lag1","ARIMAX(0,0,1)",0,0,1,14.086747346789231,19.4948684024677,0.5524955575204253,0.5058025850560464
