exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"tmean_lag135, tmean_lag120, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5684.121628128658,-5645.751043765334,0.15395280783822513,0.13988749514173612
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5689.080921781176,-5646.446939155259,0.15395531499048756,0.13993293968879197
"tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5691.3024574721785,-5652.931873108854,0.15396217815254315,0.13991275459934974
"tmean_lag135, tmean_lag120, tmean_lag90, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5681.8091498854665,-5639.17516725955,0.15396725612531162,0.13990912070569247
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5689.5721332972935,-5646.938150671377,0.15397038736067892,0.13992381740465165
"tmean_lag120, tmean_lag150, tmean_lag105","ARIMAX(1,1,2)",1,1,2,-5695.087219848965,-5665.243432010824,0.15400167321307653,0.13995958763260352
"tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5690.151490478664,-5647.517507852747,0.15400609865488882,0.13995781571533294
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag105","ARIMAX(1,1,2)",1,1,2,-5693.330655314966,-5659.223469214233,0.15401887325895153,0.1399770408810256
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5688.355828581925,-5641.458447693418,0.15402830573740733,0.1399796004349803
"tmean_lag150, tmean_lag105, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5689.6386196936965,-5655.531433592963,0.1540335101939749,0.13998940135750498
"tmean_lag135, tmean_lag150, tmean_lag105, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5688.058594522412,-5649.688010159088,0.15404285534023193,0.14000082683232215
"tmean_lag135, tmean_lag120, tmean_lag90, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5685.657553551807,-5651.550367451074,0.15404880316923605,0.13998950116455813
"tmean_lag135, tmean_lag120, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5687.715471747224,-5657.871683909083,0.15409374236352752,0.14001835575046315
"tmean_lag120, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5687.954528505057,-5658.110740666916,0.1540949656045782,0.14000999057736627
"tmean_lag120, tmean_lag90, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5685.616759111488,-5651.509573010755,0.15409610006732055,0.14001890155101315
"tmean_lag120, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5687.4208326721755,-5657.5770448340345,0.15409890499963452,0.14001776490724824
"tmean_lag120, tmean_lag90, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5685.218848168224,-5651.111662067491,0.15414724171375593,0.14006656777118107
"tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5689.117048275777,-5646.483065649861,0.15415806337896582,0.1400944474443667
"tmean_lag135, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5686.034653966508,-5643.4006713405915,0.15415816602241492,0.14011404698174676
"tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5687.607251465348,-5649.236667102024,0.1541661699748937,0.14011731846654985
"tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag90","ARIMAX(1,1,2)",1,1,2,-5692.916949085835,-5658.809762985102,0.15417455200721755,0.14012076183705263
